CountryofLiving,fob_social,fob_stores,fob_curfew,sob_social,sob_stores,sob_curfew,perceivedreaction,govtrust,govfact,react_pub_appr,perceivedeffectivnes
New Zealand,Yes,No,No,30,20,20,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,92,83,94,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,81,74,73,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,58,40,40,The reaction is somewhat insufficient,Somewhat trust,Very truthful,The reaction is not at all sufficient,Effective
New Zealand,Yes,Yes,Yes,70,60,60,The reaction is somewhat insufficient,Somewhat trust,Somewhat truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,80,82,82,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,No,100,100,6,The reaction is appropriate,Neither trust nor distrust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,61,45,25,The reaction is somewhat insufficient,Somewhat distrust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,99,80,70,The reaction is appropriate,Strongly trust,Somewhat untruthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,No,Yes,81,53,86,The reaction is appropriate,Strongly trust,Somewhat truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,65,80,70,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,No,70,64,36,The reaction is somewhat insufficient,Strongly trust,Somewhat truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,90,90,90,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is somewhat too extreme,Effective
New Zealand,Yes,No,Yes,32,50,34,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,81,80,81,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,70,53,18,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,100,100,100,The reaction is appropriate,Strongly trust,Somewhat truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,74,93,89,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,No,100,100,100,The reaction is appropriate,Strongly trust,Somewhat truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,75,80,50,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,77,78,78,The reaction is appropriate,Somewhat trust,Somewhat truthful,The reaction is appropriate,Neither effective nor ineffective
New Zealand,Yes,Yes,Yes,71,50,50,The reaction is appropriate,Strongly trust,Somewhat truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,No,80,90,90,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,91,93,92,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,85,90,60,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,83,69,55,The reaction is appropriate,Strongly trust,Somewhat truthful,The reaction is not at all sufficient,Effective
New Zealand,Yes,No,Yes,90,50,90,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,84,71,73,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,60,93,94,The reaction is somewhat insufficient,Somewhat trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,97,97,97,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,72,67,52,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,100,86,81,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,70,87,62,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,60,60,60,The reaction is appropriate,Somewhat trust,Somewhat truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,30,30,30,The reaction is somewhat insufficient,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,70,90,50,The reaction is somewhat insufficient,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,No,41,50,19,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,90,62,48,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,75,95,50,The reaction is appropriate,Somewhat distrust,Very truthful,The reaction is somewhat insufficient,Neither effective nor ineffective
New Zealand,Yes,Yes,Yes,89,80,73,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,90,85,80,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,95,93,85,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,30,30,31,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,92,98,46,The reaction is somewhat insufficient,Neither trust nor distrust,Very untruthful,The reaction is somewhat too extreme,Effective
New Zealand,Yes,Yes,Yes,95,92,100,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,75,28,26,The reaction is somewhat insufficient,Somewhat trust,Somewhat truthful,The reaction is somewhat too extreme,Effective
New Zealand,Yes,No,Yes,80,70,70,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,86,91,72,The reaction is appropriate,Strongly trust,Very untruthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,93,100,95,The reaction is not at all sufficient,Strongly trust,Somewhat truthful,The reaction is much too extreme,Very effective
New Zealand,Yes,Yes,Yes,100,100,100,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,60,40,40,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,84,88,70,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,80,80,80,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,51,33,33,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is not at all sufficient,Very effective
New Zealand,Yes,Yes,Yes,89,89,90,The reaction is appropriate,Somewhat trust,Somewhat truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,100,89,89,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,80,70,60,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,No,95,97,80,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,58,58,50,The reaction is somewhat insufficient,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,84,83,81,The reaction is appropriate,Somewhat trust,Somewhat truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,81,87,43,The reaction is appropriate,Strongly trust,Very truthful,The reaction is not at all sufficient,Not effective
New Zealand,Yes,No,Yes,70,60,50,The reaction is appropriate,Strongly trust,Very untruthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,95,98,98,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,51,83,75,The reaction is appropriate,Somewhat trust,Somewhat untruthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,76,75,65,The reaction is somewhat insufficient,Somewhat trust,Somewhat truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,75,71,76,The reaction is appropriate,Somewhat trust,Somewhat truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,88,86,88,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,85,85,81,The reaction is somewhat insufficient,Somewhat trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,No,85,60,50,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,No,1,2,6,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,83,69,71,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,90,75,80,The reaction is appropriate,Somewhat trust,Somewhat truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,75,75,80,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,No,84,53,6,The reaction is appropriate,Strongly trust,Somewhat truthful,The reaction is appropriate,Neither effective nor ineffective
New Zealand,Yes,Yes,Yes,98,97,77,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,80,55,55,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,99,99,95,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,No,Yes,70,71,60,The reaction is somewhat insufficient,Somewhat trust,Somewhat truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,90,90,90,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,75,75,75,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,90,90,100,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,79,70,74,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,100,100,100,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,70,71,71,The reaction is somewhat insufficient,Somewhat trust,Somewhat untruthful,The reaction is somewhat insufficient,Not effective
New Zealand,No,No,No,77,80,72,The reaction is much too extreme,Neither trust nor distrust,Neither truthful nor untruthful,The reaction is much too extreme,Effective
New Zealand,Yes,Yes,Yes,72,90,51,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,No,90,95,40,The reaction is appropriate,Strongly trust,Somewhat truthful,The reaction is appropriate,Not effective
New Zealand,Yes,Yes,No,81,70,45,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,80,50,50,The reaction is appropriate,Strongly trust,Very truthful,The reaction is not at all sufficient,Effective
New Zealand,Yes,Yes,Yes,50,50,50,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,62,50,47,The reaction is appropriate,Somewhat trust,Somewhat truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,No,Yes,63,52,58,The reaction is not at all sufficient,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,No,No,21,83,13,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,No,No,50,60,30,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,100,100,100,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,82,98,66,The reaction is appropriate,Somewhat trust,Very truthful,The reaction is somewhat insufficient,Neither effective nor ineffective
New Zealand,Yes,Yes,Yes,90,75,90,The reaction is appropriate,Somewhat trust,Somewhat untruthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,49,90,50,The reaction is appropriate,Somewhat trust,Somewhat truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,No,80,40,20,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Very effective
New Zealand,Yes,Yes,Yes,97,97,97,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
New Zealand,Yes,Yes,Yes,83,77,66,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Effective
New Zealand,Yes,Yes,Yes,70,70,70,The reaction is appropriate,Strongly trust,Very truthful,The reaction is somewhat insufficient,Effective
New Zealand,Yes,Yes,Yes,85,90,85,The reaction is appropriate,Strongly trust,Very truthful,The reaction is appropriate,Very effective
